HOTKEY,COLDKEY,EMISSION(ρ),DIVIDENDS
5C4xKhjVKka7SkKB55NWVeaPfwfXJ6B2LLbQ4nprB92cHqTi,5DPNMxTrYnwqRUMrTxkQxHgSZkhPggtWsD3WeoZ4EcTvEUaS,0.01596007,0.0
5C4xpYgfhNCuSREMpD2KVFeEhYGQceRiwwBgwB2Nk2ARy85D,5ERPifjRduxrDfuyZA2jGxGqMAyrVkQmgAZmCj1mvsa2woLX,0.03669123,0.0
5C4xxrbtWwfzFTPsGQA6iex6U8bZUdYQv3u6j3wVeogmdb1T,5CXbZ832xFdmH2BXJtqfFbTQzVBt24SikLdxaztbf1zJCs7g,0.001770797,0.0
5C4yoQQdi2pN2heaF6Lv4deumgRonFJxkYbdFx9c2DTMqc5L,5HjRByPbCYbtPiBge7EduX8mUUDXFhHDS4iTZzZMVp6q5azr,0.0,0.0
5C4zHcQXXqmpaH3qd6wfp9XwgFkC69XzZFouRqVVAyw9ou81,5Hj27KHWZeSEB6pDhMgjVK21D1YWCjXSRRSjeCnQdcDVLqkD,0.022117572,0.0
5C4zVNs54Xxo8NkktaJsiFFY2Ug3zw3D9BPArHmSZMUsLXnL,5CCihH3CQHv3t5jz6p4kLxyZPgCv4b7AaRNR8oyVfyBKHmeA,0.007263157,0.0
5C53Scc7V3zXFnAJsyDMJ52D7RSnQ8r5tqoUSLkEQJZxKNiH,5ELhXtQF9Q9qFqawVzdn7rgikFT52U7g3nFU6Yx5kBMwXyfk,0.008158072,0.0
5C559wBFAsX4U7ayvRXVEzTvNbbCKxyFMX4434i4UvQFFupM,5CtGrG6pVzmBQEFMV5dur8xyxuCJDFZ4fjVC4H3xLpH848gP,0.003310878,0.0
5C56nrYcuXLNZ7craR6WYqNhGQE4czM1dvbcWLgbvdMQuu6S,5CVPofuNAv78oB1Q5T8DtbGGZMsBzwD32Jhqh5syWWj1otGk,0.001391356,0.0
5C595728Ft41Y5Q9mk5iXkCUzdVy8Dom27z8U9wwAFB5u7iL,5EfFFeomvSg5CxjRH8tnQ8u5z89Jhdg8y56XhMEJNtFbXqhZ,0.00709244,0.0
5C59jUVtMHPfjLQh7aidBNiLTdCzDbaC5RysXXvH9kcuZi8D,5HjmhsPvhr1JTQG4QQLspoi6N3B1jfXmNfggwU11xexsvCVd,0.002273573,0.0
5C5ALNPH2gw9z31V9VxaT7MCbTjkDm2NGSDHWToLtK5QEnyv,5EL13WpJgwzNPFHcgA2jqPTgrRt9CNSVPPH8gJcPhgft2Gnw,0.001782401,0.0
5C5BZCUgD1vCV2oAn91J3tS2Ew7gdunrJiMqmE6qt9LhKqNk,5FzskCw5qyeAvD4Bc4u1UDxWWnq4neuWiP5cXUZCwWtfEEPW,0.044121474,0.0
5C5BZaTe4ZhAmwtB2GX2Y3VMY1rAPCGRjiPmVUWHLrtWAvuD,5CAt4v7VFcf1oLyYF5VYFvZgi55idXC4jJWVQmLjHdxCKs2J,0.011833314,0.0
5C5GANtAKokcPvJBGyLcFgY5fYuQaXC3MpVt75codZbLLZrZ,5H6rahwxxTPaviVLJqH58tnenG6mbTUuMHeaJkED4qQqSiNY,0.0,0.0
5C5GbKtKna96ysNZBtDMMvM6etjqHrEimLcg6Yaks1WFinmH,5CaC6upKaS6PRKaxcEJ28d6rSiLZhx7uUqyos9xbjnWJdiAG,0.0,0.0
5C5H659ebCwUcGVAE9twMXRFh34bmYtJ3V9kgjuub3wAryqe,5EACUJ23WaGmpzykbfcxSULcMujrQKP9R8b8gh88ouFH8Ujf,0.004527798,0.0
5C5HQiijruqahUcEqZKMap4AEaxdvKKb7LcTgqSFdKQ1DVvz,5CqqYeLN8QCQrH4PUG1qn3Gy7yRNkeGYsyeofvR7VnUGv5uw,0.01084542,0.0
5C5HZxe3ahGzh2YgZZTjbqk9YD8o3PznryBvYMSS3XPzFAXe,5EP2k4V64J4TJx5jqnxuRcThpXqqAVLCyNUsAZLi3aNDMLap,0.007916176,0.0
5C5J5U7torVpVcvzpczkeoUMnFdCdeiJAEt7g4gxYm9LzPm2,5E6nCpSckkb4TtHYzG5VqB2UY2m1RrnGVygHQTeBELow5bZa,0.002046141,0.0
5C5KPbBv9pkjDqNJg852MEcX7uWfxfroWGV4z75sLQyoNgHk,5ERj4peUMLma2nr3gR9HvX6QqFSMXFUeJ5KCtb8wVLK31jB8,2.2629e-05,0.0
5C5LMfPt4pJvf17hCBxozt5QKSabUFKaUzNYbtV3YYaZfvQV,5CogaRHH5pKAX2swfnNbGukVHGSSqzCTJuSXhj9Lp7ufnqCd,0.0,0.0
5C5MwgxTyA2sWJQxfnXbh9iAXK6Kc7YjeZhHbrbpu7MeM172,5EACUJ23WaGmpzykbfcxSULcMujrQKP9R8b8gh88ouFH8Ujf,0.00467478,0.0
5C5N9ugqHwGCYhQxDKpvENnWYwK7hcZj7tLeVgqDUUc1oWNX,5DyGqAGnSxSKng783dKX5hdN3oy7rSEARyyQKckxm94RPV4p,0.007771054,0.0
5C5R4TUcYv7YG3cUGqzPSzzwWbAMy1TQ37EfrCXmawRPdvHC,5EefisctzgWdVGFQaL4LjFFacTE7dM4YJVNy3ogGBQoapTU1,0.001636366,0.0
5C5S27czwoKAeTUaVyBEdRvgWkFrqMmgbPK8UBx6hZyUNTeh,5DZwsbfbPyKSxCvT48t1L3NuBYQvzv4mQoVejVb1gjBNZdrk,0.008166571,0.0
5C5T9Q1ZG9cLwrnYEuYJ3trMFDkSurVXANJHN3cH3USioE8h,5ChVGqJUaGyBy1siFUXK1CS9NnkKa9DynWEiwC1HuKPMuuEe,0.001671359,0.0
5C5UtcTBDffpKFRf2HwUX3gx1gcdfxLLNVbPxd1kVhKDME8V,5CJJ7nPwHmZAcDfMJeQyWBckZ7pApaGY6StsRhGxP2FwHNHa,0.0,0.0
5C5VGmBzc872Q8peehGjPw1WKZCaWu9siEH3K1wmEKAo5EhJ,5DCa8ufKsMWkd75GMQQpjXRr7LNNScuB4cZVC3CLDr5RALTQ,0.020512963,0.0
5C5VMTArp9DM7zZAhLiQo517o8og5oVREtKhJAqLWfdX3oz8,5HZ9n2crfVff5xqNNGVxt7xn75b3qsrajLucVCXmMGV8m9wt,0.007773373,0.0
5C5Vnw7pZcFvbahzZ7FaES5hneNLhUWn4dmf7wEDVUb6QeTY,5CzSA6pp9X3E2tEYUTdQZyFwx173637Hv5LjTFeLG3QSvf2B,0.00171128,0.0
5C5WXMTQqVBaecg7qxvQTtVvZYX9YnNNXB3NT9UnACZSZ6oE,5CVRtfMZK3aMmDecG3xL4WxbvwSL4EJsmemSzMukt9i2DVkN,0.0,0.0
5C5YQtmRjezP9LjTvuXe4hW1XJ36vuRBEbFaHkoEw63wFkwd,5GmSaYqVsNPanc9q87YYyeWm9pFQYVBGyfGkR7hcZ62VfssY,0.022233643,0.0
5C5ZLwaK5jQyhsjUXGbiFEANtKtNpB2JfeTn5vLCtHKtm3TV,5GTVbEdiPtmJ1XWG7FgKaYifLciwWUDDXeauVKgpzKkNDCQL,0.014010625,0.0
5C5ZysNTmgcow5ZrQAhqgWMSk2FwyR3Shy8Z6AJSjp9WoXnY,5F6isJTzPdwhFLPEjbY4t35RpYMAHvPahUPHZZMnmZL2yWh7,0.001690788,0.0
5C5aSmFea7Zf1vSMmoZSxg97GYV926vaCm7mwbL9MrWcKj6C,5EUpSmYfabR3uxdiLo1cwpWR5YB9cgWi1QSo8Tmp2fiznP7v,0.0,0.0
5C5amJiW5c28x24gWibBRmmQy9NqF2YLbQV2N7yWCvHLAAGo,5DoWAqN3uRH3es9HJsZB19F1nZcKf4yQKotGimokaNPHtSCv,0.000249826,0.0
5C5dGkAZ8P58Rcm7abWwsKRv91h8aqTsvVak2ogJ6wpxSZPw,5DAchgvPkoexHJnPURimXdyz1VVU2q9HzeqzsFVHc9SADHoj,0.2604985,0.0
5C5eKB2eU3cepnMrM1k9s76SjzqxmSZhswAZ8FN4KdHfNxPT,5H6PvyukuA4a7yfTZWPyqHCm5PRQR9N85QETDQekiV8HYvWc,0.018035456,0.0
5C5ejvxQx7NcBfTskvAMUtSNFY9NN4vDynK7s8JmqqpJ9vhd,5EkZVFpNVciN3mkRTkwREbP42bWJbsSPF5Pz9pAdSdbBoFHg,0.005992401,0.0
5C5fAkUiCnHcGSQ6TBWNJKPTo3caYX5W5fkuVBjMfxPQMLam,5EefisctzgWdVGFQaL4LjFFacTE7dM4YJVNy3ogGBQoapTU1,0.001344423,0.0
5C5fDo5GKJt19XYEfzG1BNtT36QozSFuHj7fRgXRBy6VFpZK,5DJZrgJFZk7zWXuW3UjtnAR2YNnuWkTTvh4tXizXkwdFWpve,0.008859652,0.0
5C5fPdkpzyt5dZb6W8yxMR7YJQLtMN8VwtNmsWNcVhsFRV3r,5HNiyqXaBDZwMRkjddEFoy16dtJXr7QrcPgB5ZhU5Fgf7UvY,0.002964895,0.0
5C5fSf5u6dUsM5giYwgWL4KgHTn2zJez7vKnAB68D4NsmtfC,5FC93masNtcpTQAg39kdknK3aZB9moaaEEbVgJUxMpajMedv,0.037835089,0.0
5C5hT4rczxVwmTdKPzGm16nS8sQUMuxYrP9283qXQWTaA7vk,5DP6Tae2kpUsdYxszFHVENzKcZaqRLne9HXPoJMPYppkVFcQ,0.007828621,0.0
5C5hWmo8T5NVgYMTcGBf9J4DJttfgwjBBvfndoTjXq7CrMq9,5FEmR5Rf1rX7ZivB2MaGBaYfq9xXAPSz3ttdABzizNmhWq3V,1.6888e-05,0.0
5C5hihSQVGWJdPGqSw7b1UobRMUWNkP9zJG52XvLzwUNt2mB,5HE6HVdypW33b9MpZUbhMqK6p5n5nEJrd2Vp1YfNGnsiop4V,0.001420578,0.0
5C5kUpLWkEN1WDzN9e2b3gdzSPeYbr1TbQSXV5Wxtx58eKqN,5FC94FpBcGoX1kVS2MqAxwWvC77hzfKd1Es76YvgstDFvzQJ,0.022017466,0.0
5C5kzRXazWDgyJjVw5HhrKDwVqPQsagThXNzmhpCyssQ5daR,5DkP9nesEaR23364SFqppHBvKDQNgvoHz5k3ZBVkoXojHtRU,0.018393295,0.0
5C5mBwztJNnQMVBaF2R2Zvp9YBYHkwYwV7gDNEw2Fz8fyZ3E,5Esx9Dbpzmy4mz5UNkdN5ncTRNwZqLX9oJCpgZqNXpMZrksb,0.003594734,0.0
5C5mW9zeBCoagXLJoUmvwVmjQBiwgKWi1w8PXSYNEPcSGH2t,5E1a9ws6KvP3rhheKeF6ds3A1yjFznC4G9zw1x6fSwVEvNk1,0.034966245,0.0
5C5mrWF4FTf7wMfA9xakHZ7YDwpEczPHBD4a3vaonqNAaFX7,5Cny5W58EVZuFNEF5YMmYG62SdyAiLovBEhE2vKjgsUV1qFU,0.030948993,0.0
5C5mvj6HkYBRZiet3d8yQCtEjnJMmSKbTrRLLbZw1y4pTQ57,5Gb15WheaZqHGo3hvwNhZZE2GXQwZ6WmBk9nbtGKi3SmLzQ4,0.021872638,0.0
5C5n31qn2zT2P55Q8BZVjookT3agGETav2RYf5z3fuaRRpdK,5F75kjdgqhuUrLmjyx7R2J3S5cq9NX76b3nyHTQEii8N44qM,0.003004633,0.0
5C5oUfFtdkq8osQAP9RfdcV41KEjsNwpPfnBiiuU5JuhbeK2,5F6iHazvcvWHcS4Y16SbC8a9T3YQWGyMyGfx9ULYxPBVDoiB,0.016392753,0.0
5C5paQ85S9gBAmsicrHg9CNhbuRKLdkenomYfgpRzkvZBAWT,5DoWAqN3uRH3es9HJsZB19F1nZcKf4yQKotGimokaNPHtSCv,0.001355708,0.0
5C5peZsDnWrQUfqZFXz5yx1bgXiEYNfTBtF3YWJwLvk9FELR,5FphQgyahkPR3R9eJvazq2D2dfEXQgmqDMwT8aBssArSFKYD,0.000772502,0.0
5C5qAXgBBqs4WDRG1vo8s7tJ138ZDZRxQzdYJ1aLPNC3spKK,5FL2D536ct7FGLED7mrRTMtn6VbLhWkoRwTdwy135Ru2t7C3,0.013935285,0.0
5C5qQHWLvzKXQHwscUFzgwu889XeqLmSi7cLvyCfErPaccvb,5HjmhsPvhr1JTQG4QQLspoi6N3B1jfXmNfggwU11xexsvCVd,0.001455565,0.0
5C5rFH7PDRHC3twwzgAGN6G9FZs2nTqniW3DPwXq18y8WTN5,5C4yZL2gEophPAePcxDwLMqmUq5WeHZonCWNtVgHoynxnbFy,0.012897254,0.0
5C5skfdAQUK16cehjiGF4mepPyXiRktN5uM8i4ftywQnH3jH,5GC6pLzZn1BivsGys2MhkGZibBXR6XaChSk9rTRABtYPAVz5,0.001440934,0.0
5C5t9Poa2iS7TkV2u33Xmn6VuVZDf6GmywxfWNop2HnV3W9u,5E4hfkdgghMQmFd8aKg2mUskJEmzRLQ9Np2Cwtu2XKiwuEv4,0.004886366,0.0
5C5tdz359rFajrrJbAVTsyGGEr9LQBG5UAwWeNMWnUpBCyt2,5HVzBQu6S4e2YtgnW6m1tc6wjZDmdgM6APon8yU6pBbeYZZB,0.0021114669999999997,0.0
5C5u7bqDWgCSbhSQntWTTseNL1V1TcuU7jdUSxiNypauxNPy,5G9swfhUrBmJYYdtG9oP9eRZ3tafuZbehvSX65Kdzk7xNc5x,0.0,0.0
5C5xaAjA5e1gFELPcn4qPxsWDbB2FfoyKSdUFFc273emCizT,5ERPifjRduxrDfuyZA2jGxGqMAyrVkQmgAZmCj1mvsa2woLX,0.026268216,0.0
5C5zCqFLNfPJeUhVUKmyHZoMeXvY2rXb6DDR152i6zDBrRfZ,5CzFREWkBMwLdnrFEdWm79CoMBwMb9fPs8ow5wrQSnbTCfm8,0.0005843,0.0
5C5zMEF4aYPycpQQR8TvMUd5v8JGDkMghmFGTT7fWfWafMvL,5EZhgywkRU8Qi4zaSvqSAWZZdy6Q2BumAPNrP5EXiURXMP7Q,0.012755703,0.0
5C5za6EbvY95LB6iC8kjtfkaNqiff3Xu6cYPiretEnX3XptP,5F3zfuLT8x4wLg2R148xsWxdCdvWVpoukHiUwoLoQyQ24kwZ,0.013438724,0.0
5C5znVJwapoBPPM4zby6YMXMoySaZ8N6E4wdddJ8kqsQF92A,5DcqAJCnwt1maEGFnVqp6TowtYgFy6VKWc7jyq3Lf639xD95,0.004110126,0.0
5C61FvchQrRmN2CVar3nNuRTLLPkRQHzNVhMKrPkt3b3it3g,5Dc1pitFTRNh9Bx1N7QAKEi5J9ykjeVn3Y9WAEBMSr6qZ73p,0.01667417,0.0
5C61GRJ7JBtJiQia5tmHskVJrHV6RoyGwtu7xSVsuFeSLGyp,5G9swfhUrBmJYYdtG9oP9eRZ3tafuZbehvSX65Kdzk7xNc5x,0.0,0.0
5C61WWNsk7gUxofEGiDFc2i55WuYyQhQW1bkU8cSUMYmyKN1,5E7QjW1Rd8K9VFZsnMsg5C7tSuYfc4Urv3Wcsbz2FkDKACt6,0.0,0.0
5C61YqgP5TS4U1tfjJjPPfKQePFd8A2gKvnF4BPkL6YZbTuD,5EJEVYzfKPm9akEasCFUu8mxVaWRBumYAj8YxYGtbm4DpQV9,0.001447084,0.0
5C7MBF9LRMscBZJdReZSn7rkWkpGawTeS8oFqxtQ2m4DoCCH,5HBZQH8H7fXKyUhPFpYT5wGcMvfrZJyhoztiJHLgW5QKGU35,0.003645853,0.0
5C7PHsBUZk7D7aC7EiwDZsmGvcmpfTpJ1X3h875Dn1XcdTQV,5EfFFeomvSg5CxjRH8tnQ8u5z89Jhdg8y56XhMEJNtFbXqhZ,0.006576674,0.0
5C7Q6z5wk5VCFZLtMDgEaSwxA3fgFxoZMVhQj7SprZA2rwzQ,5DaUQrFC3kEuqCkvBELUs47pJpNoqXTTiHop7c3pcq1KngQo,0.013911155,0.0
5C7QJCKn54T6kycasRUmp5Ex71BuditFcxbGYtPBDxag125R,5EhiJzQFPSkTLriK4Uc8CdTDtVG9dmWt4oDunreoGWqKcG19,0.018406963,0.0
5C7Tt7Wh3heMmGWgdmvj6mD6AECgAf1yQJFcwEL7SfvC7Rfk,5Fh7fQrUFYzVhkimRdeoApj6gmDezfAzDJhEUdaH273QkVxW,0.021801269,0.0
5C7Y7kD43BLHocAu4sTikpBtckuDg8NeuBBc3y1z5BVP6aP3,5DfF58gXrkdD3PouTVJateMCA4nCRybpHvU8o2Sswgt4NVAH,0.016691098,0.0
5C7ZHMYiYFkE8Yn7ccyQiwZR64X1faA2hqqgQnhDs1BwGbLQ,5EkKLncghsG8U6N1vfku46b8a7suGew7bVt61zdbcrDWc9wh,0.005737866,0.0
5C7ZoZZnKYZGCSvp1FXkemekpWUuG9z1bqVBYfST8dk7AS9p,5GVmLyEdNWdGvovVDsRXLHVpd8QYD36Yy4Z2BLQZEznWEVw5,0.002293085,0.0
5C7bgmc6hrEypaYGBcf2BDfzqxYqNFUAHHEHfmMqimA7xup9,5CaknKNXgt6iMsbcWw6QwXhr92B8wqiUVaXg1mhKxKx2RK54,0.0,0.0
5C7cbBSXbfkKKpC16mpPcHmu1DJxikXihvk1x8QAUKJvZVxi,5GL67Su9KKoYycLzD9PSF7gygbYjiEXpb4iqNk2mvUj2m2dC,0.01619284,0.0
5C7dDWXwpRZepwMJf3q8QJmRXCGy9RqHbTaiuCroiyPWLppy,5CzSA6pp9X3E2tEYUTdQZyFwx173637Hv5LjTFeLG3QSvf2B,0.001451896,0.0
5C7dLN9bsBrRCTQ3SuWBp6RPQbM8ujsUzWB5Nj4ZLKHp1Cd1,5DCu6eXM1Cv1FAnakZ81c3txrTbbf24ktogkrh5HoAfoBNFB,0.007694325,0.0
5C7dMHyrsnrk6jAPRx6UuiUGRJR5zQTscdSDxW2rEj28cUPY,5GuKSbbw6cBergSo3Ap3X6ve7M8cH91JgzLWVgQXwDgDQR59,0.009389136,0.0
5C7e1daMBowovvgtcTdnAhJUxbejkeg4KCoDANbPYFQFHfRH,5DXan1tb6BDHedhq975krLBs3TsD29mCNy1CtZsE9VtMDDa8,0.00791613,0.0
5C7e9bksMtMjFVYNFmx4ELjq4h17gxismo2ezYSgX95d5yHZ,5GWCF5UR9nhbEXdWifRL8xiMTUJ4XV4o23L7stbptaDRHMDr,0.01792911,0.0
5C7hFL9impspWQBqHo4TvZ2i9sTm7nmvX9fmPH1VqeR5vHqy,5CZZZbiTGJ9jagW2RfmVKEbyP62CZQEyE5XG1Gepidr9sbtz,0.006658276,0.0
5C7hJM3RZP6NqxWDcJnGtQHe67dWYpqu4GZSJCyDDd7MdTTR,5CrJbgVd38cJGRj42VoN8reKavteqVMSAJEdj3ubJ94rxBur,0.010509513,0.0
5C7iUtnLhWvD4UAFPuXbB8faUpMJE5QSttycxhWvkW1CfbiT,5HBgF8P6S3WB9xw7S6z4yrXZxwTW7bAw3g1cDnVSeaJru4UH,0.01802355,0.0
5C7njtsbWRfY2R7H2f8J4TnLevrgJfLBrsqPL1JAufJCT9Eo,5GjndHMqAh2qytf8TPomuiQaUYPdJw1meQVUfRnKT4ZwduqY,0.010607812,0.0
5C7nrVTKnkLrzG7wLpfpbiPz6MfL1Bor83DhnNoDMWy9FBdn,5HgXTgEbbvGreSu9FxqM8Ss4JHEKzDbUYXuH9qqVpVbAtSZG,0.001447405,0.0
5C7oDujHXPujX8BmYdvY4X5RBn2GGZLgJWKBe3TY8xv1BQHp,5HjmhsPvhr1JTQG4QQLspoi6N3B1jfXmNfggwU11xexsvCVd,0.001361392,0.0
5C7qTt5KsSSNpamHqgxfw1bMJ2m8LrcTQzixDrngJjKPiiJS,5Ckr1EUS2CyJtp1v5wYoyCo6p9bcjYA1SNuyZ8LVHb55J9CP,0.00126694,0.0
5C7qkE48eAnCmTTSS5kBcNqp28vtSEP7hULkUTdJ4QFos7nw,5ERPifjRduxrDfuyZA2jGxGqMAyrVkQmgAZmCj1mvsa2woLX,0.021462887,0.0
5C7rKTsAAMR9uaWr2aKPUoR58tfMzS9ZtcvCUmixvwgWZUpp,5GTkSCn4TF5GWeDNBTzfLdiuDT4QJ54UGaSotBYatrjnywLk,0.021814825,0.0
5C7rmebqRAyoRdWsPfoLXJAn1Qh58zUumo2aMh8919gMktgh,5CvkNDQpS4vhPLHKnEtZCWir8QHvmmScygxTPC43nFkQTQzU,0.008602819,0.0
5C7s3s7F9ZdVtwh51cjBJgfsMKt1VHGCFkxuE9E9y6X5Jcky,5DP6Tae2kpUsdYxszFHVENzKcZaqRLne9HXPoJMPYppkVFcQ,0.007919825,0.0
5C7sR4nwKie9z5GL6YTDEYC4rZfEje5ZQ9aJNc1LGf6djeCv,5E6jFfuVVxq27obXcvcY8kYmNnuwY2vNFi2CGb1ZQR9aRTHi,0.015932515,0.0
5C7uJKkUTencea6r43kiacfCEgb1ydaUTjqb1t1HHjVqQVyk,5G8vPjUDMbz3TZQJAwAekgWj7LA9c51j5vNqAv7JkxSrMzKk,0.021628607,0.0
5C7vggnPv2h1ZrJmYEHeNgHP6sECR4JKinYssw4UDGNveCBn,5F3zfuLT8x4wLg2R148xsWxdCdvWVpoukHiUwoLoQyQ24kwZ,0.014209851,0.0
5C7w9kqF89HJ5Rot3YdbB5YRJw5iYr9UjjaDMSDF32uggdT8,5DoRfJDp6qxtg1hQTYMWgeXbrXBKGZF7cnZFxupAxzfbzw4q,0.001608635,0.0
5C7wNaBtHgVULL3QZ8pJzPb9u2yqBg9LMoYMrbHbKaVdfHND,5HbhKisEN5K6cyhTHLUcfYhv5zs45fKZnc9H2XLEZ5Gp5XKv,0.007056206,0.0
5C7wQepNZrvxFfmTBkG4TmrmbKK8cSjWDj5HC6s9V5SpBqbJ,5HjmhsPvhr1JTQG4QQLspoi6N3B1jfXmNfggwU11xexsvCVd,0.00209118,0.0
5C7x76bpP7mpdDsmHtNRB2xjkYsPnXP2S9radmDMuqUtBV9M,5HTxXqqjaSbwJ7YcknGCtiHp1tZrYRZHUi29E7zvRtPipuvp,0.0,0.0
5C7xN9oYyEZmgN8HgWBZkWgwkKWE912NAoppUu6mAuenX5Du,5Ff2N6DjL1i3PZ6eyGtJSofVv9LFv7viRr8jXCsN1QZ33doY,0.0038708810000000005,0.0
5C7xnFmDL85DS6YzJdbMwzT7QzWRZoZ5Z8PyB7yvVz1qSMjR,5DqLy71EkUkvenPoLkeVc8BULNc3rtNoBr8ZZasmNsf37wU9,0.003329071,0.0
5C7zvXjXLyRkkPvTuMh2ds688uHKKgpWHKnogHsFARxtSSJx,5CzBrsJmio2Fj6bFg7Y7rg4vXKYwC3UkoF7FJ4EaMENzm2q2,0.006292056,0.0
5C81uK9ZKARsVUX2z1XoupX82RGzYwZW8e7oLs5RggvMp7sF,5F6isJTzPdwhFLPEjbY4t35RpYMAHvPahUPHZZMnmZL2yWh7,0.002096793,0.0
5C82gXpNA5bEbo1B9da6WZwySKK29uD3GGGXexoP69pBGMMB,5F9LK2PMPoSjoatXGeXdpRdgjcY9QMjPpRTQ34ggDbwGzxSE,0.008157688,0.0
5C83L4mNCZ2beKJpN2y8hk14Wp4HbnWqoio3su9LfhTkuUMg,5FsohGwryM33Bq1WuXKBdEaUzdM7njEhSKwi1ESoKDyEgbBw,0.03211348,0.0
5C84HyRkw9u5qxXnJD8nn2ohHFzWWjXTFc5ZmVyTAzeTNVQJ,5CZwtx4vMwvV9crKQre8qJQ35ftHnENd7qog3CQfCjoebkVW,0.002438399,0.0
5C856MpfSkdw3xmKZoDy47c4XweTK7u7ueiv84CNb6Q7JJtQ,5FjmQqMEhqddxv5WGaE8XzZfoNtXYg6a7knovwckpkXr8X55,0.012883862,0.0
5C86EHZZN4RZ82WwcQx8DqwWiVXhKQR6g2Z4nRsYyX8ohq8d,5DP6Tae2kpUsdYxszFHVENzKcZaqRLne9HXPoJMPYppkVFcQ,0.007801337,0.0
5C87uEn3uy3FCQ8DSgKREtyN8fWcmNpu1pXfAtRB9FsM7e6K,5F6isJTzPdwhFLPEjbY4t35RpYMAHvPahUPHZZMnmZL2yWh7,0.001598,0.0
5C8B3J6v48hzXq3ELb2idiX3ffsopurTQFpfeK9VkVARu44Z,5Hjjwfc9DeT9NrhqWkDni1gfCzYR9Rr2NJZUTJ84J1zvtjb1,0.009656322,0.0
5C8BbJgE7WmcQ3gtzkUaSa5u3saiuLr1AzN9hi1fRAk3ZzR5,5CvkNDQpS4vhPLHKnEtZCWir8QHvmmScygxTPC43nFkQTQzU,0.022897419,0.0
5C8BnaV2QVkFSyNiHZBGdMRe5oaKsziJY2KYjW4MnXn9nR1Q,5CVPofuNAv78oB1Q5T8DtbGGZMsBzwD32Jhqh5syWWj1otGk,0.001352442,0.0
5C8E6zC77XSyuBERChBD6ad3BM4mYFVbVWQUHU4dxLvKRkVH,5E2k9XaYg3qscRQQrp1RN11WdFG1CrPupQ5n14xmZUgFcve2,0.0,0.0
