Hotkey: 5ECvRLMj9jkbdM4sLuH5WvjUe87TcAdjRfUj5onN4iKqYYGm, Prefix: 5ECvRL, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5HeKSHGdsRCwVgyrHchijnZJnq4wiv6GqoDLNah8R5WMfnLB, Prefix: 5HeKSH, Reward: 0.41398848, APR: 0.41000000000000003, Percent Taken Out: 18
Hotkey: 5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed, Prefix: 5DvTpi, Reward: 0.0, APR: 0.0, Percent Taken Out: 0
Hotkey: 5CaNj3BarTHotEK1n513aoTtFeXcjf6uvKzAyzNuv9cirUoW, Prefix: 5CaNj3, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5Hddm3iBFD2GLT5ik7LZnT3XJUnRnN8PoeCFgGQgawUVKNm8, Prefix: 5Hddm3, Reward: 14.2779384, APR: 0.63, Percent Taken Out: 18
Hotkey: 5Dkv87qjGGF42SNhDAep6WZp65E29c2vUPUfDBGDNevENCMs, Prefix: 5Dkv87, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5GzoXHNJ4UzZYiQN2wpBcwMigiHiakiz5ZLMwhpunpwDNzFg, Prefix: 5GzoXH, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5EZrPTXt2G9SvbDsERi5rS9zepour2yPmuhMhrNkgdiZvXEm, Prefix: 5EZrPT, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5CPzGD8sxyv8fKKXNvKem4qJRhCXABRmpUgC1wb1V4YAXLc3, Prefix: 5CPzGD, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5FqPJMZDp39KRd9jDhXuFpZWkYD7wG5AXmjoWqK8rDy7ok5B, Prefix: 5FqPJM, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5ED6jwDECEmNvSp98R2qyEUPHDv9pi14E6n3TS8CicD6YfhL, Prefix: 5ED6jw, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5EsbfxPcQaUrCDurUJ8Q5qDKNENNGziu3qHWUbXrcuY2pbNz, Prefix: 5Esbfx, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5GmaAk7frPXnAxjbQvXcoEzMGZfkrDee76eGmKoB3wxUburE, Prefix: 5GmaAk, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5CQEFopfZ8DAmk3ZfR7QuDTU2n3fJod3kkf6Wmj4JwV3BBSu, Prefix: 5CQEFo, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5FFM6Nvvm78GqyMratgXXvjbqZPi7SHgSQ81nyS96jBuUWgt, Prefix: 5FFM6N, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5CaCUPsSSdKWcMJbmdmJdnWVa15fJQuz5HsSGgVdZffpHAUa, Prefix: 5CaCUP, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5G3f8VDTT1ydirT3QffnV2TMrNMR2MkQfGUubQNqZcGSj82T, Prefix: 5G3f8V, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5CXC2quDN5nUTqHMkpP5YRp2atYYicvtUghAYLj15gaUFwe5, Prefix: 5CXC2q, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5FBrHX18bNXX874ZTMicPG4vYbq5X6piz4BYoVn9LnCgdsEd, Prefix: 5FBrHX, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
Hotkey: 5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN, Prefix: 5HK5tp, Reward: 3.69, APR: 0.43, Percent Taken Out: 18
Hotkey: 5Hh3ShaNW9irCe5joBLCeFD5Fxb2fJ6gFAgrsPmoz3JkzqvJ, Prefix: 5Hh3Sh, Reward: 0.0, APR: 0.0, Percent Taken Out: 18
